dict_size,exclusive_pct,regime,metric,comparison,delta
8192,0.0,CrossCoder + L1,format_accuracy_A_post,45->90,-8.0
8192,0.0,CrossCoder + L1,format_accuracy_B_post,45->90,0.0
8192,0.0,CrossCoder + L1,overall_score_A_post,45->90,-0.26
8192,0.0,CrossCoder + L1,overall_score_B_post,45->90,-0.17999999999999994
8192,0.0,CrossCoder + L1,tool_correctness_A_post,45->90,-9.0
8192,0.0,CrossCoder + L1,tool_correctness_B_post,45->90,-9.0
8192,0.0,CrossCoder + L1,format_accuracy_A_post,90->160,-1.0
8192,0.0,CrossCoder + L1,format_accuracy_B_post,90->160,0.0
8192,0.0,CrossCoder + L1,overall_score_A_post,90->160,-0.030000000000000027
8192,0.0,CrossCoder + L1,overall_score_B_post,90->160,0.019999999999999907
8192,0.0,CrossCoder + L1,tool_correctness_A_post,90->160,-1.0
8192,0.0,CrossCoder + L1,tool_correctness_B_post,90->160,1.0
8192,0.0,CrossCoder + L1,format_accuracy_A_post,45->160,-9.0
8192,0.0,CrossCoder + L1,format_accuracy_B_post,45->160,0.0
8192,0.0,CrossCoder + L1,overall_score_A_post,45->160,-0.29000000000000004
8192,0.0,CrossCoder + L1,overall_score_B_post,45->160,-0.16000000000000003
8192,0.0,CrossCoder + L1,tool_correctness_A_post,45->160,-10.0
8192,0.0,CrossCoder + L1,tool_correctness_B_post,45->160,-8.0
8192,0.0,CrossCoder no-L1,format_accuracy_A_post,45->90,-10.0
8192,0.0,CrossCoder no-L1,format_accuracy_B_post,45->90,0.0
8192,0.0,CrossCoder no-L1,overall_score_A_post,45->90,-0.30000000000000004
8192,0.0,CrossCoder no-L1,overall_score_B_post,45->90,-0.33999999999999997
8192,0.0,CrossCoder no-L1,tool_correctness_A_post,45->90,-10.0
8192,0.0,CrossCoder no-L1,tool_correctness_B_post,45->90,-17.0
8192,0.0,CrossCoder no-L1,format_accuracy_A_post,90->160,-19.0
8192,0.0,CrossCoder no-L1,format_accuracy_B_post,90->160,0.0
8192,0.0,CrossCoder no-L1,overall_score_A_post,90->160,-0.5900000000000001
8192,0.0,CrossCoder no-L1,overall_score_B_post,90->160,0.16000000000000003
8192,0.0,CrossCoder no-L1,tool_correctness_A_post,90->160,-20.0
8192,0.0,CrossCoder no-L1,tool_correctness_B_post,90->160,8.0
8192,0.0,CrossCoder no-L1,format_accuracy_A_post,45->160,-29.0
8192,0.0,CrossCoder no-L1,format_accuracy_B_post,45->160,0.0
8192,0.0,CrossCoder no-L1,overall_score_A_post,45->160,-0.8900000000000001
8192,0.0,CrossCoder no-L1,overall_score_B_post,45->160,-0.17999999999999994
