metric,comparison,mean,median,min,max,count
format_accuracy_A_post,45->160,2.25,3.0,-29.0,42.0,16
format_accuracy_A_post,45->90,-1.2,-2.0,-18.0,24.0,15
format_accuracy_A_post,90->160,3.466666666666667,6.0,-25.0,31.0,15
format_accuracy_B_post,45->160,0.0,0.0,0.0,0.0,16
format_accuracy_B_post,45->90,0.0,0.0,0.0,0.0,15
format_accuracy_B_post,90->160,0.0,0.0,0.0,0.0,15
overall_score_A_post,45->160,0.05875,0.08999999999999997,-0.8900000000000001,1.22,16
overall_score_A_post,45->90,-0.041333333333333326,-0.09999999999999998,-0.5399999999999999,0.7,15
overall_score_A_post,90->160,0.1,0.18,-0.77,0.9299999999999999,15
overall_score_B_post,45->160,-0.04875000000000001,-0.030000000000000027,-0.24,0.07999999999999996,16
overall_score_B_post,45->90,-0.009333333333333312,0.020000000000000018,-0.36,0.36,15
overall_score_B_post,90->160,-0.04000000000000003,0.0,-0.30000000000000004,0.16000000000000003,15
tool_correctness_A_post,45->160,1.8125,3.0,-30.0,40.0,16
tool_correctness_A_post,45->90,-1.4666666666666666,-3.0,-18.0,23.0,15
tool_correctness_A_post,90->160,3.2666666666666666,6.0,-26.0,31.0,15
tool_correctness_B_post,45->160,-2.4375,-1.5,-12.0,4.0,16
tool_correctness_B_post,45->90,-0.4666666666666667,1.0,-18.0,18.0,15
tool_correctness_B_post,90->160,-2.0,0.0,-15.0,8.0,15
