dict_size,regime,topk,metric_family,model_side,mean,median,min,max,count
8192,CrossCoder + L1,45,format_accuracy,A,58.0,58.0,58.0,58.0,1
8192,CrossCoder + L1,45,format_accuracy,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder + L1,45,overall_score,A,0.76,0.76,0.76,0.76,1
8192,CrossCoder + L1,45,overall_score,B,-0.76,-0.76,-0.76,-0.76,1
8192,CrossCoder + L1,45,tool_correctness,A,59.0,59.0,59.0,59.0,1
8192,CrossCoder + L1,45,tool_correctness,B,12.0,12.0,12.0,12.0,1
8192,CrossCoder + L1,90,format_accuracy,A,50.0,50.0,50.0,50.0,1
8192,CrossCoder + L1,90,format_accuracy,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder + L1,90,overall_score,A,0.5,0.5,0.5,0.5,1
8192,CrossCoder + L1,90,overall_score,B,-0.94,-0.94,-0.94,-0.94,1
8192,CrossCoder + L1,90,tool_correctness,A,50.0,50.0,50.0,50.0,1
8192,CrossCoder + L1,90,tool_correctness,B,3.0,3.0,3.0,3.0,1
8192,CrossCoder + L1,160,format_accuracy,A,49.0,49.0,49.0,49.0,1
8192,CrossCoder + L1,160,format_accuracy,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder + L1,160,overall_score,A,0.47,0.47,0.47,0.47,1
8192,CrossCoder + L1,160,overall_score,B,-0.92,-0.92,-0.92,-0.92,1
8192,CrossCoder + L1,160,tool_correctness,A,49.0,49.0,49.0,49.0,1
8192,CrossCoder + L1,160,tool_correctness,B,4.0,4.0,4.0,4.0,1
8192,CrossCoder no-L1,45,format_accuracy,A,70.0,70.0,70.0,70.0,1
8192,CrossCoder no-L1,45,format_accuracy,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder no-L1,45,overall_score,A,1.1,1.1,1.1,1.1,1
8192,CrossCoder no-L1,45,overall_score,B,-0.66,-0.66,-0.66,-0.66,1
8192,CrossCoder no-L1,45,tool_correctness,A,70.0,70.0,70.0,70.0,1
8192,CrossCoder no-L1,45,tool_correctness,B,17.0,17.0,17.0,17.0,1
8192,CrossCoder no-L1,90,format_accuracy,A,60.0,60.0,60.0,60.0,1
8192,CrossCoder no-L1,90,format_accuracy,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder no-L1,90,overall_score,A,0.8,0.8,0.8,0.8,1
8192,CrossCoder no-L1,90,overall_score,B,-1.0,-1.0,-1.0,-1.0,1
8192,CrossCoder no-L1,90,tool_correctness,A,60.0,60.0,60.0,60.0,1
8192,CrossCoder no-L1,90,tool_correctness,B,0.0,0.0,0.0,0.0,1
8192,CrossCoder no-L1,160,format_accuracy,A,41.0,41.0,41.0,41.0,1
