rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,3377,59.79136792818034,1.0,1.0,0.0,3.8534133434295654,3.8534133434295654,0.0,tool
1,431,32.1388829551562,0.999982,1.0,0.002,5.589798927307129,5.600396633148193,0.010597922839224339,tool
2,4727,21.05853510265678,0.997,1.0,0.003,4.437963485717773,4.453445911407471,0.01548244059085846,tool
3,4648,13.454732214069148,0.996,1.0,0.004,3.918246030807495,3.9435229301452637,0.025276798754930496,tool
4,1679,11.22650505799152,0.991,1.0,0.009,3.7321088314056396,3.7755444049835205,0.04343567043542862,tool
5,2926,9.91950077657615,0.99,1.0,0.01,3.6868557929992676,3.7383511066436768,0.05149536952376366,tool
6,5729,9.781396798250876,0.988,1.0,0.012,3.9241068363189697,3.9855973720550537,0.06149060279130936,tool
7,3700,8.79399737425226,0.991595,1.0,0.009,4.067340850830078,4.127542018890381,0.060201313346624374,tool
8,3113,7.576177772861532,0.98686,1.0,0.015,4.75628662109375,4.860301971435547,0.10401513427495956,tool
9,6688,5.835150179534997,0.972,1.0,0.028,3.395169496536255,3.5337984561920166,0.13862906396389008,tool
10,1021,4.262617843336032,0.971,1.0,0.029,3.5968384742736816,3.798982858657837,0.20214426517486572,tool
11,2323,4.083332334443766,0.957,1.0,0.043,3.3551745414733887,3.5971477031707764,0.24197322130203247,tool
12,826,3.7091615606273027,0.9387825,0.887,0.005,3.0402376651763916,3.0666756629943848,0.026438042521476746,tool
13,1710,3.67003941624719,0.946729,0.946,0.027,3.1689651012420654,3.3203210830688477,0.15135595202445984,tool
14,8043,3.595354875778191,0.929501,1.0,0.118,4.607616424560547,5.26289176940918,0.6552754640579224,tool
15,5883,3.221113959288385,0.921154,0.846,0.002,2.8800740242004395,2.8921079635620117,0.012034048326313496,tool
16,7869,2.8859426160203623,0.928,1.0,0.072,3.219635486602783,3.6462903022766113,0.4266546964645386,tool
17,7266,2.6838872079878686,0.87609,1.0,0.124,3.5062525272369385,4.190020561218262,0.683768093585968,tool
18,1426,2.56533074942466,0.884117,1.0,0.163,4.312387466430664,5.327353477478027,1.0149662494659424,tool
19,2565,2.521500403421732,0.8828435,0.771,0.003,2.6483590602874756,2.6649131774902344,0.01655403897166252,tool
20,3088,2.398200505926527,0.8895825,0.863,0.045,2.706826686859131,2.9398953914642334,0.23306867480278015,tool
21,5995,2.3175901601304325,0.843,1.0,0.157,3.171236991882324,3.9984805583953857,0.8272436857223511,tool
22,1194,2.3069956228946458,0.8917825,0.945,0.083,2.782437801361084,3.232147216796875,0.4497094750404358,tool
23,7705,2.295356236249805,0.899,1.0,0.101,3.0728275775909424,3.688582181930542,0.6157546639442444,tool
24,1662,2.023117982175504,0.848177,1.0,0.231,3.8759372234344482,5.272336006164551,1.3963987827301025,tool
25,3380,1.9484920966815664,0.847,1.0,0.153,2.9549098014831543,3.8455870151519775,0.8906772136688232,tool
26,6708,1.8874438229522712,0.835212,0.708,0.022,2.310464859008789,2.4228482246398926,0.1123834028840065,tool
27,7323,1.8476707915523867,0.859009,1.0,0.141,2.978501319885254,3.8764994144439697,0.8979980945587158,tool
28,442,1.7266935999058401,0.83979,0.86,0.097,2.418464183807373,2.933382749557495,0.5149186849594116,tool
29,3431,1.7009589352099492,0.841005,1.0,0.159,2.8174331188201904,3.7975103855133057,0.9800772666931152,tool
30,5008,1.5673313966761224,0.763657,1.0,0.237,2.7997169494628906,4.178530216217041,1.3788131475448608,tool
31,5776,1.5514175869687294,0.839298,1.0,0.633,7.319540023803711,15.250432014465332,7.930891990661621,tool
32,283,1.518608063790498,0.794955,1.0,0.329,3.755080461502075,6.076098442077637,2.3210179805755615,tool
33,4627,1.456098714759235,0.912,1.0,0.088,2.904750347137451,3.692216396331787,0.7874660491943359,tool
34,5001,1.3151910785631593,0.76,1.0,0.24,2.2397713661193848,3.57696533203125,1.3371938467025757,tool
35,258,1.2808042552473642,0.769001,1.0,0.231,2.6264326572418213,4.157620429992676,1.5311877727508545,tool
36,3076,1.2534046644487424,0.787006,0.724,0.087,1.9702811241149902,2.464665412902832,0.4943842887878418,tool
37,6865,1.2520801170310385,0.875,1.0,0.125,2.5566232204437256,3.5641088485717773,1.0074856281280518,tool
38,1834,1.2451552216118822,0.7966855,0.679,0.051,1.9647812843322754,2.3131279945373535,0.3483467400074005,tool
39,4876,1.2214714213247677,0.7193355,0.443,0.003,1.474650263786316,1.4926282167434692,0.017977984622120857,tool
40,6507,1.1595508628769633,0.750342,0.583,0.052,1.699271321296692,1.9814493656158447,0.28217801451683044,tool
41,4122,1.143834694084903,0.768075,0.995,0.23,2.140496253967285,3.53401255607605,1.3935163021087646,tool
42,2514,1.0867431273715162,0.717128,1.0,0.4,3.191692590713501,6.3795270919799805,3.1878345012664795,tool
43,6825,1.0443552683240438,0.74802,0.56,0.041,1.614461064338684,1.8943684101104736,0.27990737557411194,tool
44,3575,0.8536351667054101,0.6385785,0.281,0.003,0.9332253932952881,0.9490190148353577,0.015793651342391968,tool
45,6057,0.5177177847464052,0.528463,1.0,0.478,1.3795077800750732,4.813042163848877,3.4335343837738037,tool
46,5905,0.47560891440829894,0.59535,0.225,0.028,0.5857018232345581,0.7559258937835693,0.17022404074668884,tool
47,241,0.3412362907629816,0.582728,1.0,0.418,1.0261261463165283,4.4032087326049805,3.377082586288452,tool
48,6317,0.28780945268016644,0.5915555,0.387,0.147,0.519752562046051,1.3174126148223877,0.7976600527763367,tool
49,5285,0.2225956523196786,0.6097975,0.885,0.353,0.585289478302002,3.04331636428833,2.458026885986328,tool
50,360,0.043417084248146914,0.506443,0.019,0.006,0.021981410682201385,0.06323625147342682,0.04125484079122543,tool
51,2765,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
52,5465,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
53,5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
54,2738,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
55,2755,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
56,2771,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
57,2745,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
58,2756,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
59,2757,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
60,2739,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
61,2758,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
62,2746,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
63,2770,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
64,2800,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
65,2781,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
66,2783,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
67,2750,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
68,5473,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
69,5474,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
70,5476,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
71,5472,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
72,5487,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
73,5478,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
74,5479,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
75,5486,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
76,2728,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
77,2802,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
78,2772,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
79,2804,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
80,2743,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
81,2806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
82,2792,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
83,2793,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
84,2796,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
85,2798,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
86,2740,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
87,2761,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
88,2762,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
89,2803,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
90,5418,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
91,5421,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
92,5408,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
93,2799,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
94,2785,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
95,2787,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
96,2788,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
97,2789,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
98,2790,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
99,2791,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
100,5433,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
101,2878,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
102,2879,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
103,2867,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
104,5466,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
105,2857,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
106,2860,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
107,2863,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
108,2850,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
109,2839,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
110,2825,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
111,2828,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
112,2816,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
113,2817,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
114,2818,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
115,2820,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
116,2822,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
117,2843,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
118,2844,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
119,2832,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
120,2871,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
121,2774,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
122,2775,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
123,2760,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
124,5453,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
125,5454,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
126,5443,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
127,5445,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
128,2777,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
129,2778,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
130,2779,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
131,2780,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
132,5394,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
133,5397,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
134,5398,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
135,5399,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
136,5417,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
137,5387,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
138,5388,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
139,5389,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
140,5413,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
141,5415,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
142,5400,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
143,5401,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
144,5402,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
145,5406,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
146,5407,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
147,5392,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
148,5435,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
149,5439,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
150,5424,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
151,5425,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
152,5384,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
153,5561,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
154,5562,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
155,2646,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
156,2647,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
157,2632,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
158,2633,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
159,2635,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
160,2637,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
161,2638,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
162,2639,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
163,2650,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
164,2653,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
165,2654,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
166,2655,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
167,2640,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
168,2847,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
169,2642,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
170,2645,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
171,5525,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
172,5527,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
173,5512,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
174,5516,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
175,5517,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
176,5518,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
177,5519,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
178,5504,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
179,5529,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
180,5530,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
181,5532,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
182,5535,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
183,5520,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
184,2641,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
185,5586,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
186,5591,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
187,2604,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
188,2605,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
189,2607,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
190,2593,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
191,2595,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
192,2599,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
193,5592,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
194,5593,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
195,2611,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
196,2612,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
197,2613,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
198,2614,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
199,2615,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
200,5560,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
201,2602,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
202,2603,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
203,5563,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
204,5564,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
205,5566,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
