rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,521,12.176034773858067,0.997656625,1.0,0.01575,5.4081315994262695,5.481310844421387,0.0731792002916336,tool
1,730,4.803613048640273,0.9535721875,1.0,0.0465,3.0604088306427,3.2568540573120117,0.1964452862739563,tool
2,538,4.4263519083125065,0.9491076875,1.0,0.0515,3.037194013595581,3.257143020629883,0.21994906663894653,tool
3,126,4.1184539171349375,0.9292891875,1.0,0.07225,3.013186454772949,3.29962158203125,0.286435067653656,tool
4,636,2.3632442445219564,0.8263055,1.0,0.20775,2.7768642902374268,3.6195430755615234,0.8426787257194519,tool
5,789,2.2170323609675022,0.98784346875,1.0,0.68475,4.718075752258301,8.866351127624512,4.148275375366211,tool
6,17,2.121237229338908,0.90113371875,1.0,0.34925,3.6218032836914062,5.329955101013184,1.7081518173217773,tool
7,583,1.9226081906915085,0.8816016875,1.0,0.393,3.146010637283325,4.965152740478516,1.8191421031951904,tool
8,786,1.6580233347617745,0.89163725,1.0,0.5345,2.883287191390991,5.448826313018799,2.5655391216278076,tool
9,253,1.1394745643156283,0.6835011875,1.0,0.5325,1.9598140716552734,4.489068508148193,2.52925443649292,tool
10,10,0.8959334132394976,0.634513,1.0,0.684,4.2173614501953125,13.027527809143066,8.810166358947754,tool
11,708,0.8437357184622175,0.58769965625,1.0,0.57175,1.5730140209197998,4.508328437805176,2.935314416885376,tool
12,128,0.6953156951931273,0.5768144375,1.0,0.59575,1.5697906017303467,5.213761806488037,3.6439712047576904,tool
13,546,0.472305045738398,0.5522340625,1.0,0.44875,0.9172039031982422,3.2839839458465576,2.3667800426483154,tool
14,243,0.3821631274840238,0.5230730625,1.0,0.47775,0.7538378238677979,3.2671048641204834,2.5132670402526855,tool
15,550,0.13382503315265917,0.52149878125,0.71475,0.39175,0.25178468227386475,2.0670077800750732,1.8152230978012085,tool
16,173,0.07676675748980905,0.50816390625,0.02375,0.00725,0.032257262617349625,0.06665966659784317,0.034402403980493546,tool
17,553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,250,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,282,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,283,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,286,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,565,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,559,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,572,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,573,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,297,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,564,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,237,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,544,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,234,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,245,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,532,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,191,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,178,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,179,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,623,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
37,196,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
38,197,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
39,198,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
40,189,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
41,278,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
42,187,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
43,641,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
44,172,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
45,626,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
46,254,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
47,533,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
48,628,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
49,620,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
50,271,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
51,186,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
52,37,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
53,41,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
54,787,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
55,780,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
56,438,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
57,439,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
58,440,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
59,54,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
60,761,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
61,746,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
62,258,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
63,776,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
64,777,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
65,762,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
66,15,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
67,25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
68,453,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
69,455,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
70,448,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
71,405,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
72,407,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
73,408,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
74,73,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
75,257,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
76,204,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
77,259,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
78,261,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
79,265,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
80,220,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
81,222,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
82,211,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
83,587,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
84,592,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
85,232,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
86,34,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
87,586,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
88,615,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
89,606,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
90,608,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
91,29,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
92,30,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
93,33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
94,18,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
95,19,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
96,21,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
97,784,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
98,594,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
99,709,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
100,84,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
101,85,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
102,88,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
103,718,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
104,98,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
105,105,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
106,96,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
107,726,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
108,714,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
109,318,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
110,384,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
111,371,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
112,372,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
113,375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
114,465,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
115,389,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
116,391,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
117,467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
118,469,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
119,473,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
120,458,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
121,716,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
122,813,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
123,812,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
124,811,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
125,50,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
126,422,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
127,763,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
128,802,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
129,49,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
130,745,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
131,732,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
132,707,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
133,64,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
134,12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
135,415,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
136,417,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
137,404,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
138,377,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
139,366,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
140,418,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
