rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,16,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
1,815,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
2,12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
3,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
4,813,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
5,11,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
6,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
7,810,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,809,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,771,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,772,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,773,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,774,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,475,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,476,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,477,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,468,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,471,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,427,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,430,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,432,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,433,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,474,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,449,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,434,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,438,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,439,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,497,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,450,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,451,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,452,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,453,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,455,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
37,456,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
38,457,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
39,738,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
40,742,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
41,745,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
42,730,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
43,731,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
44,732,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
45,734,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
46,74,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
47,75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
48,76,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
49,79,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
50,80,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
51,105,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
52,91,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
53,92,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
54,95,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
55,83,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
56,46,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
57,47,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
58,98,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
59,99,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
60,102,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
61,111,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
62,113,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
63,706,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
64,707,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
65,710,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
66,126,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
67,114,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
68,115,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
69,119,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
70,120,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
71,106,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
72,717,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
73,719,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
74,132,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
