rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,136,41.06160081310592,0.999625,0.99925,0.0,4.069952964782715,4.069952964782715,0.0,tool
1,568,5.136557837565241,0.9684030625,1.0,0.06925,6.844241619110107,7.344500541687012,0.5002588033676147,tool
2,649,1.128234394368546,0.7407878125,1.0,0.49075,3.8114123344421387,8.101916313171387,4.290503978729248,tool
3,89,0.71528736194258,0.6980766875,0.8185,0.23225,1.654366135597229,3.1937124729156494,1.5393463373184204,tool
4,454,0.5697712066025213,0.7240065,0.9515,0.258,1.6913411617279053,3.755855083465576,2.064513921737671,tool
5,128,0.21083203361259067,0.510875,0.02175,0.0,0.08360055088996887,0.08360055088996887,0.0,tool
6,348,0.059164730054969056,0.500875,0.00175,0.0,0.0067964536137878895,0.0067964536137878895,0.0,tool
7,441,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,444,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,445,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,446,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,461,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,462,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,448,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,449,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,450,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,451,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,452,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,453,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,403,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,404,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,443,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,380,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,382,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,383,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,368,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,370,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,371,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,372,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,455,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,432,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,433,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,434,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,435,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,436,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,437,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
