rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,521,1.162710,0.990491,0.4300,0.0100,2.264618,2.310906,0.046288,tool
1,499,-1.082991,0.492067,0.0260,0.4250,-2.536302,0.095077,2.631379,nontool
2,538,0.935982,0.909070,0.5340,0.0840,1.602994,2.003905,0.400911,tool
3,468,-0.872789,0.565830,0.0650,0.3600,-1.737424,0.194578,1.932002,nontool
4,730,0.764311,0.953419,0.3460,0.0380,0.953271,1.120416,0.167146,tool
5,101,-0.748548,0.649321,0.0290,0.2840,-1.384025,0.124085,1.508110,nontool
6,387,-0.743019,0.672151,0.0240,0.2610,-1.119791,0.082112,1.201903,nontool
7,55,-0.736909,0.642239,0.0420,0.2910,-1.169111,0.153858,1.322969,nontool
8,152,0.654380,0.995272,0.1980,0.0040,0.852917,0.872482,0.019565,tool
9,431,-0.643575,0.419866,0.3510,0.4440,-2.628573,1.736558,4.365132,nontool
10,786,0.643154,0.672055,0.6990,0.3820,1.508984,3.346369,1.837385,tool
11,126,0.625005,0.924184,0.3240,0.0610,0.826242,1.083454,0.257212,tool
12,789,0.621192,0.669254,0.7830,0.5240,2.045348,5.278098,3.232750,tool
13,133,-0.619106,0.770508,0.0040,0.1780,-0.916019,0.013460,0.929479,nontool
14,657,-0.586397,0.799305,0.0000,0.1550,-0.736956,0.000000,0.736956,nontool
15,321,-0.582009,0.778066,0.0120,0.1720,-0.740294,0.045134,0.785429,nontool
16,177,-0.575043,0.714836,0.0430,0.2270,-0.866885,0.170767,1.037652,nontool
17,536,-0.562314,0.485864,0.2750,0.3540,-1.299689,0.798526,2.098215,nontool
18,677,-0.465760,0.817184,0.0230,0.1430,-0.580163,0.088033,0.668196,nontool
19,306,-0.457543,0.873186,0.0000,0.0970,-0.408451,0.000000,0.408451,nontool
20,636,0.420570,0.846978,0.3250,0.1290,0.640343,1.158989,0.518647,tool
21,654,-0.407871,0.891474,0.0010,0.0830,-0.356130,0.004797,0.360927,nontool
22,106,-0.376035,0.843298,0.0290,0.1230,-0.435515,0.112508,0.548024,nontool
23,492,-0.358055,0.903620,0.0050,0.0730,-0.283658,0.018453,0.302111,nontool
24,273,0.350290,0.997147,0.0710,0.0010,0.533338,0.538515,0.005177,tool
25,277,0.344074,0.989307,0.0790,0.0080,0.355041,0.391699,0.036658,tool
26,725,0.342632,0.997320,0.0710,0.0010,0.405698,0.409933,0.004235,tool
27,646,-0.337805,0.874094,0.0240,0.0980,-0.331786,0.083208,0.414994,nontool
28,162,-0.331934,0.889356,0.0200,0.0850,-0.316900,0.064243,0.381143,nontool
29,556,-0.331739,0.895302,0.0110,0.0800,-0.363966,0.053285,0.417251,nontool
30,778,0.292895,0.990489,0.0690,0.0080,0.325959,0.362621,0.036663,tool
31,63,0.290199,0.997078,0.0540,0.0020,0.420716,0.429107,0.008391,tool
32,653,0.283424,0.996094,0.0500,0.0020,0.222910,0.234058,0.011148,tool
33,262,-0.273006,0.924395,0.0090,0.0570,-0.201120,0.035434,0.236554,nontool
34,214,0.268820,0.997920,0.0410,0.0000,0.268452,0.268452,0.000000,tool
