rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,521,1.162710,0.990491,0.4300,0.0100,2.264618,2.310906,0.046288,tool
1,499,-1.082991,0.492067,0.0260,0.4250,-2.536302,0.095077,2.631379,nontool
2,538,0.935982,0.909070,0.5340,0.0840,1.602994,2.003905,0.400911,tool
3,468,-0.872789,0.565830,0.0650,0.3600,-1.737424,0.194578,1.932002,nontool
4,730,0.764311,0.953419,0.3460,0.0380,0.953271,1.120416,0.167146,tool
5,101,-0.748548,0.649321,0.0290,0.2840,-1.384025,0.124085,1.508110,nontool
6,387,-0.743019,0.672151,0.0240,0.2610,-1.119791,0.082112,1.201903,nontool
7,55,-0.736909,0.642239,0.0420,0.2910,-1.169111,0.153858,1.322969,nontool
8,152,0.654380,0.995272,0.1980,0.0040,0.852917,0.872482,0.019565,tool
9,431,-0.643575,0.419866,0.3510,0.4440,-2.628573,1.736558,4.365132,nontool
10,786,0.643154,0.672055,0.6990,0.3820,1.508984,3.346369,1.837385,tool
11,126,0.625005,0.924184,0.3240,0.0610,0.826242,1.083454,0.257212,tool
12,789,0.621192,0.669254,0.7830,0.5240,2.045348,5.278098,3.232750,tool
13,133,-0.619106,0.770508,0.0040,0.1780,-0.916019,0.013460,0.929479,nontool
14,657,-0.586397,0.799305,0.0000,0.1550,-0.736956,0.000000,0.736956,nontool
