rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,951,1.146222,0.994783,0.4170,0.0050,1.437187,1.455238,0.018051,tool
1,1110,-1.046537,0.539129,0.0010,0.3820,-2.309470,0.002957,2.312427,nontool
2,1199,0.948060,0.953578,0.4090,0.0400,1.243495,1.399140,0.155645,tool
3,968,-0.892066,0.624718,0.0020,0.3040,-1.637902,0.005879,1.643782,nontool
4,931,-0.816311,0.617931,0.0230,0.3150,-1.275053,0.109201,1.384253,nontool
5,1055,-0.753035,0.670209,0.0190,0.2630,-1.346919,0.070213,1.417133,nontool
6,911,-0.712756,0.664687,0.0390,0.2690,-1.149957,0.138343,1.288300,nontool
7,964,-0.656973,0.712759,0.0230,0.2270,-0.940233,0.088747,1.028980,nontool
8,1126,-0.635247,0.720003,0.0250,0.2210,-0.888769,0.096822,0.985591,nontool
9,1149,-0.592395,0.730460,0.0330,0.2130,-0.851490,0.126029,0.977519,nontool
10,1053,-0.566892,0.785752,0.0010,0.1660,-1.229382,0.004795,1.234177,nontool
11,1057,-0.532531,0.826787,0.0010,0.1340,-0.638256,0.005215,0.643471,nontool
12,893,0.520404,0.997407,0.1350,0.0010,0.670518,0.674374,0.003856,tool
13,1426,-0.493500,0.854328,0.0000,0.1130,-0.570563,0.000000,0.570563,nontool
14,1317,-0.434117,0.884746,0.0000,0.0880,-0.374217,0.000000,0.374217,nontool
15,1357,0.402652,0.984443,0.1140,0.0120,0.559035,0.616393,0.057359,tool
16,1248,-0.387961,0.761929,0.0640,0.1900,-0.604677,0.286164,0.890840,nontool
17,1292,-0.370694,0.872527,0.0190,0.0980,-0.399547,0.065416,0.464963,nontool
18,1239,-0.368648,0.913332,0.0000,0.0660,-0.308724,0.000000,0.308724,nontool
19,1272,-0.353606,0.853449,0.0270,0.1140,-0.390779,0.108272,0.499051,nontool
20,1559,-0.352356,0.915260,0.0000,0.0640,-0.320227,0.000000,0.320227,nontool
21,1074,-0.349785,0.918485,0.0010,0.0620,-0.251769,0.004471,0.256240,nontool
