feature_idx,cluster_id,umap_x,umap_y
0,0,5.3872,10.4546
1,0,6.5816,11.7070
2,0,5.4443,10.9218
3,-1,7.1520,11.5976
4,0,7.0072,12.3054
5,-1,5.1684,12.6805
6,1,6.5965,13.2879
7,0,4.7275,11.0010
8,0,6.0707,12.1236
9,0,6.9359,11.2078
10,0,6.4232,9.8426
11,0,6.0231,9.6200
12,0,5.8515,10.6483
13,0,4.3512,11.1666
14,-1,4.0044,11.8105
15,0,6.2730,10.8817
16,0,5.7818,10.0809
17,0,5.8235,12.5902
18,0,7.4879,12.1559
19,0,4.4121,10.0587
20,0,5.0603,11.2598
21,0,4.3061,10.3994
22,0,7.9643,11.9069
23,0,6.7147,11.7826
24,0,6.3388,10.7190
25,0,6.4903,11.1445
26,0,5.3714,9.6051
27,-1,4.1658,11.3166
28,0,6.5857,11.5018
29,-1,5.3697,8.6463
30,0,6.0232,12.4197
31,0,4.7048,11.0402
32,-1,4.5359,9.3163
33,0,7.6170,11.0906
34,0,6.8304,11.2112
35,-1,5.6845,8.2979
36,0,5.2937,9.3280
37,0,6.8027,10.2158
38,0,6.0517,11.0389
39,-1,3.9188,11.7369
40,0,6.7609,10.4203
41,0,6.3516,12.5361
42,-1,8.2270,10.4900
43,0,5.8004,12.2825
44,0,7.5662,12.0338
45,-1,4.9359,12.6184
46,0,6.0015,9.4256
47,0,4.9598,9.8083
48,0,6.3678,12.0744
49,-1,7.5682,12.0371
50,0,5.6406,9.9538
51,0,4.3870,10.8873
52,0,5.7802,11.5296
53,0,6.2218,11.6009
54,0,6.9113,10.8690
55,0,5.8218,11.2866
56,0,5.7568,10.9173
57,-1,7.8178,10.2817
58,-1,6.6543,11.4556
59,-1,7.4605,10.2088
60,0,4.5078,10.3335
61,-1,5.2836,12.9993
62,0,6.9854,12.1920
63,0,6.3995,11.7237
64,0,4.7623,9.7729
65,-1,3.8133,11.3779
66,0,4.3978,12.1089
67,-1,3.7322,11.5652
68,0,5.7429,10.9982
69,0,4.9603,10.3022
70,0,6.2298,12.4369
71,0,5.7538,10.9865
72,0,5.4922,9.5955
73,0,4.8084,10.2330
74,-1,6.9988,13.1121
75,0,5.0440,10.7914
76,-1,7.4076,9.9274
77,0,6.4942,9.8969
78,-1,7.5460,11.7679
79,0,7.3334,11.8770
80,0,5.3294,11.5881
81,0,4.9815,10.9378
82,0,6.5490,12.1216
83,0,8.0819,11.5880
84,0,7.1402,10.7103
85,0,5.6068,11.3340
86,0,5.4365,10.5469
87,-1,7.1461,12.9791
88,0,6.4098,10.0380
89,0,5.9122,9.2471
90,0,4.4363,12.0771
91,0,6.0416,10.6975
92,0,6.5355,10.1565
93,0,5.8269,12.2608
94,0,6.1171,11.5869
95,0,5.9246,12.6241
96,0,5.3413,11.8540
97,0,5.2747,11.1664
98,0,6.2287,9.7656
99,0,7.4924,11.6663
100,-1,4.8118,12.1602
101,1,6.7109,12.4391
102,0,5.5229,11.1685
103,0,7.4260,11.8901
104,0,7.1520,11.2945
105,0,6.0421,10.5764
106,0,7.2988,11.4928
107,0,6.3455,12.0115
108,0,5.7694,11.5872
109,0,5.8885,9.1756
110,1,6.6141,12.9542
111,0,6.3931,9.5442
112,0,5.8331,11.2250
113,0,5.3986,11.9917
114,0,5.8501,12.5204
115,0,7.1067,10.0947
116,0,7.8495,11.6201
117,1,6.2505,12.9680
118,0,5.0099,11.1436
119,-1,5.1627,12.7096
120,-1,7.0601,9.8203
121,0,7.2431,10.1802
122,0,4.8537,10.1931
123,0,5.4890,11.9201
124,0,6.6854,11.7359
125,0,5.4263,10.0454
126,-1,6.9313,9.8928
127,0,5.9293,10.1408
128,0,6.7140,10.9164
129,0,5.5598,10.1284
130,0,4.5147,11.3081
131,0,7.2733,10.4750
132,0,5.2982,12.0929
133,0,5.6761,11.3919
134,0,6.8172,10.1823
135,-1,5.0197,12.6817
136,0,4.6536,10.6177
137,0,5.7275,10.0515
138,0,6.7927,10.1635
139,0,5.6599,11.1035
140,-1,4.7633,10.0327
141,-1,5.5405,12.7497
142,0,7.9766,10.9350
143,0,7.1568,11.9562
144,0,4.6642,11.6522
145,0,5.4740,10.3344
146,-1,6.2336,8.7920
147,-1,8.2946,11.7741
148,0,5.6646,12.6092
149,0,5.1008,12.1776
150,0,7.0998,10.3837
151,0,4.9308,10.7247
152,0,5.4851,9.5892
153,-1,5.7040,8.2714
154,0,4.3452,11.5916
155,-1,6.7326,10.4638
156,1,6.4670,12.9616
157,-1,6.6408,9.0320
158,0,4.2484,11.1021
159,0,5.2953,11.6883
160,0,4.1579,11.2007
161,0,6.3077,12.4875
162,0,6.4886,10.6842
