"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_size","dict_size","k","layer","lr","model_a","model_b","n_a","n_b","n_shared","sparsity_coef","steps","train_batch","debug/dec_max_violation","debug/enc_max_violation","train/l0_a_excl","train/l0_b_excl","train/l0_shared","train/l0_total","train/l1_exclusive","train/l1_shared","train/l1_total","train/loss","train/mean_a_excl","train/mean_b_excl","train/mean_shared","train/mse"
"cc-D16k-k160-sp0.001-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T09:36:56.000Z","1164","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","0","0","16384","0.001","9000","1024","0","0","0","0","160","160","0.022345762699842453","0.022345762699842453","0.044691525399684906","0.02020575106143951","NaN","NaN","0.022284366190433506","0.02018340490758419"
"cc-D16k-nol1-k160-sp0.0-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T09:36:53.000Z","1180","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","0","0","16384","0","9000","1024","0","0","0","0","160","160","0.022122150287032127","0.022122150287032127","0.044244300574064255","0.018274441361427307","NaN","NaN","0.02217242307960987","0.018274441361427307"
"dfc-D16k-excl10-freeexcl-k160-sp0.001-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T09:16:51.000Z","1183","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","1638","1638","13108","0.001","9000","1024","0","0","11.5966796875","12.9990234375","135.404296875","160","0.02368966117501259","0.024640383198857307","0.048330044373869896","0.021187754347920414","0.015005182474851608","0.01694628596305847","0.024611685425043103","0.02116311341524124"
"dfc-D16k-excl10-k160-sp0.001-esp0.001","finished","-","","fineweb, layer-13, toolrl","2026-03-30T09:16:51.000Z","1178","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","1638","1638","13108","0.001","9000","1024","0","0","12.166015625","12.4853515625","135.3486328125","160","0.02284366264939308","0.023867391049861908","0.04671105369925499","0.019717328250408173","0.014455940574407578","0.014546421356499197","0.023794425651431084","0.01967061683535576"
"dfc-D16k-excl5-freeexcl-k160-sp0.001-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:56:46.000Z","1186","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","819","819","14746","0.001","9000","1024","0","0","4.9052734375","6.880859375","148.2138671875","160","0.022721383720636368","0.02320057898759842","0.04592196270823479","0.020081952214241028","0.011063926853239536","0.017553109675645828","0.023191463202238083","0.020058751106262207"
"dfc-D16k-excl5-k160-sp0.001-esp0.001","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:56:44.000Z","1179","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","819","819","14746","0.001","9000","1024","0","0","5.4375","6.33984375","148.22265625","160","0.02283941395580769","0.023292379453778267","0.04613179340958595","0.02041619084775448","0.012967923656105995","0.015862399712204933","0.023309001699090004","0.020370058715343475"
"dfc-D16k-excl3-freeexcl-k160-sp0.001-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:36:37.000Z","1190","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","491","491","15402","0.001","9000","1024","0","0","3.634765625","4.0703125","152.294921875","160","0.0228179432451725","0.023031890392303467","0.04584983363747597","0.020920446142554283","0.015865648165345192","0.015947764739394188","0.023071786388754845","0.02089741453528404"
"dfc-D16k-excl3-k160-sp0.001-esp0.001","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:36:37.000Z","1177","","72763","16384","160","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","491","491","15402","0.001","9000","1024","0","0","3.416015625","4.4375","152.146484375","160","0.022404810413718224","0.022632354870438576","0.0450371652841568","0.01997062750160694","0.013469952158629894","0.01714964024722576","0.022681407630443573","0.01992559060454369"
"cc-D16k-k90-sp0.001-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:16:46.000Z","1161","","72763","16384","90","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","0","0","16384","0.001","9000","1024","0","0","0","0","90","90","0.016894672065973282","0.016894672065973282","0.033789344131946564","0.024970831349492073","NaN","NaN","0.016825873404741287","0.02495393715798855"
"cc-D16k-nol1-k90-sp0.0-esp0.0","finished","-","","fineweb, layer-13, toolrl","2026-03-30T08:16:46.000Z","1174","","72763","16384","90","13","0.0001","chengq9/ToolRL-Qwen2.5-3B","Qwen/Qwen2.5-3B","0","0","16384","0","9000","1024","0","0","0","0","90","90","0.017106741666793823","0.017106741666793823","0.034213483333587646","0.02359345555305481","NaN","NaN","0.017049677670001984","0.02359345555305481"
